category;productName;price;quantity;offer
Fruits & Vegetables;Banana Robusta;₹48;4 piece;21% Off
Fruits & Vegetables;Watermelon Kiran(Tarbooj);₹115;1 pc (2.3 - 3.8 kg);11% Off
Fruits & Vegetables;Banana Elaichi / Yelakki;₹71;500 g;26% Off
Fruits & Vegetables;Grapes Green Seedless;₹72;500 g;38% Off
Fruits & Vegetables;Apple Kinnaur;₹206;4 piece;5% Off
Fruits & Vegetables;Tender Coconut;₹72;1 piece;40% Off
Fruits & Vegetables;Coconut;₹68;1 piece;22% Off
Fruits & Vegetables;Baby Apple Shimla;₹135;500 g;27% Off
Fruits & Vegetables;Grapes Black Seedless;₹106;500 g;10% Off
Fruits & Vegetables;Muskmelon;₹56;600 - 800 g;41% Off
Fruits & Vegetables;Pomegranate;₹230;4 x (720 - 820 g);46% Off
Fruits & Vegetables;Tender Coconut 1 pc Combo;₹134;1 pc X 2;44% Off
Fruits & Vegetables;Tender Coconut 1 pc Combo;₹180;1 pc X 3;50% Off
Fruits & Vegetables;Pomegranate;₹150;2 pcs;32% Off
Fruits & Vegetables;Sapota;₹40;250 g;52% Off
Fruits & Vegetables;Papaya;₹85;600 g - 1.2 kg;27% Off
Fruits & Vegetables;Banana Robusta 4 pc Combo;₹92;4 pc X 2;24% Off
Fruits & Vegetables;Avocado Hass Imported;₹105;1 piece;30% Off
Fruits & Vegetables;Mosambi;₹61;500 g;19% Off
Fruits & Vegetables;Baby Orange;₹139;500 g;39% Off
Fruits & Vegetables;Pineapple;₹103;900 g - 1.2 kg;24% Off
Fruits & Vegetables;Mango Banganapalli;₹225;1 kg;40% Off
Fruits & Vegetables;Grapes Bangalore Blue;₹64;500 g;29% Off
Fruits & Vegetables;Guava Indian;₹94;500 g;N/A
Fruits & Vegetables;Mix Grapes;₹109;500 g;26% Off
Fruits & Vegetables;Apple Royal Gala;₹203;4 x (500 - 540 g);20% Off
Fruits & Vegetables;Banana Nendran;₹72;500 g;21% Off
Fruits & Vegetables;Mango Sindhura;₹222;1 kg (Approx. 6pcs - 7pcs);35% Off
Fruits & Vegetables;Gooseberry (Amla);₹53;250 g;32% Off
Fruits & Vegetables;Kiwi Green;₹129;3 piece;27% Off
Fruits & Vegetables;Coconut Kalash;₹64;1 piece;30% Off
Fruits & Vegetables;Apple Shimla;₹167;4 x (500 - 600 g);39% Off
Atta, Rice, Oil & Dals;Indic Wisdom Wood Pressed Groundnut Oil | Cold Pressed - Extracted on Wooden Churner;₹1500;5 L;33% Off
Atta, Rice, Oil & Dals;Keshar Kali Wada Kolam Rice;₹3300;30 kg;N/A
Atta, Rice, Oil & Dals;Leonardo Extra Light Olive Oil Bottle;₹2264;2 l;12% Off
Atta, Rice, Oil & Dals;Heritage Ghee | Pouch;₹710;1 L;3% Off
Atta, Rice, Oil & Dals;Bertolli Extra Light Olive Oil | Bottle;₹2333;2 l;41% Off
Atta, Rice, Oil & Dals;Leonardo Pomace Olive Oil;₹3097;5 L;34% Off
Atta, Rice, Oil & Dals;GTS Original Kolam Rice;₹847;10 kg;21% Off
Atta, Rice, Oil & Dals;Nandini Pure Ghee - Pouch;₹585;1 L;7% Off
